nonconformance_code,inspection_code,defect_code,defect_label,quantity,disposition,target_status,notes
fixture_nonconformance_2026_00002,fixture_quality_inspection_2026_00002,seal_integrity,Độ kín bao bì không đạt,1.000000,rework,in_progress,Độ kín bao bì không đạt; đã mở phiếu xử lý theo quy trình chất lượng.
fixture_nonconformance_2026_00003,fixture_quality_inspection_2026_00003,net_weight,Khối lượng tịnh lệch chuẩn,2.000000,scrap,resolved,Khối lượng tịnh lệch chuẩn; đã mở phiếu xử lý theo quy trình chất lượng.
fixture_nonconformance_2026_00004,fixture_quality_inspection_2026_00004,microbiology,Chỉ tiêu vi sinh cần xử lý,3.000000,return,cancelled,Chỉ tiêu vi sinh cần xử lý; đã mở phiếu xử lý theo quy trình chất lượng.
fixture_nonconformance_2026_00005,fixture_quality_inspection_2026_00005,label_information,Thông tin nhãn cần điều chỉnh,4.000000,hold,open,Thông tin nhãn cần điều chỉnh; đã mở phiếu xử lý theo quy trình chất lượng.
fixture_nonconformance_2026_00006,fixture_quality_inspection_2026_00006,appearance,Ngoại quan không đạt,5.000000,rework,in_progress,Ngoại quan không đạt; đã mở phiếu xử lý theo quy trình chất lượng.
fixture_nonconformance_2026_00007,fixture_quality_inspection_2026_00007,seal_integrity,Độ kín bao bì không đạt,6.000000,scrap,resolved,Độ kín bao bì không đạt; đã mở phiếu xử lý theo quy trình chất lượng.
fixture_nonconformance_2026_00008,fixture_quality_inspection_2026_00008,net_weight,Khối lượng tịnh lệch chuẩn,7.000000,return,cancelled,Khối lượng tịnh lệch chuẩn; đã mở phiếu xử lý theo quy trình chất lượng.
fixture_nonconformance_2026_00009,fixture_quality_inspection_2026_00009,microbiology,Chỉ tiêu vi sinh cần xử lý,8.000000,hold,open,Chỉ tiêu vi sinh cần xử lý; đã mở phiếu xử lý theo quy trình chất lượng.
fixture_nonconformance_2026_00010,fixture_quality_inspection_2026_00010,label_information,Thông tin nhãn cần điều chỉnh,9.000000,rework,in_progress,Thông tin nhãn cần điều chỉnh; đã mở phiếu xử lý theo quy trình chất lượng.
fixture_nonconformance_2026_00011,fixture_quality_inspection_2026_00011,appearance,Ngoại quan không đạt,10.000000,scrap,resolved,Ngoại quan không đạt; đã mở phiếu xử lý theo quy trình chất lượng.
fixture_nonconformance_2026_00012,fixture_quality_inspection_2026_00012,seal_integrity,Độ kín bao bì không đạt,11.000000,return,cancelled,Độ kín bao bì không đạt; đã mở phiếu xử lý theo quy trình chất lượng.
fixture_nonconformance_2026_00013,fixture_quality_inspection_2026_00013,net_weight,Khối lượng tịnh lệch chuẩn,12.000000,hold,open,Khối lượng tịnh lệch chuẩn; đã mở phiếu xử lý theo quy trình chất lượng.
fixture_nonconformance_2026_00014,fixture_quality_inspection_2026_00014,microbiology,Chỉ tiêu vi sinh cần xử lý,13.000000,rework,in_progress,Chỉ tiêu vi sinh cần xử lý; đã mở phiếu xử lý theo quy trình chất lượng.
fixture_nonconformance_2026_00015,fixture_quality_inspection_2026_00015,label_information,Thông tin nhãn cần điều chỉnh,14.000000,scrap,resolved,Thông tin nhãn cần điều chỉnh; đã mở phiếu xử lý theo quy trình chất lượng.
fixture_nonconformance_2026_00016,fixture_quality_inspection_2026_00016,appearance,Ngoại quan không đạt,15.000000,return,cancelled,Ngoại quan không đạt; đã mở phiếu xử lý theo quy trình chất lượng.
fixture_nonconformance_2026_00017,fixture_quality_inspection_2026_00017,seal_integrity,Độ kín bao bì không đạt,16.000000,hold,open,Độ kín bao bì không đạt; đã mở phiếu xử lý theo quy trình chất lượng.
fixture_nonconformance_2026_00019,fixture_quality_inspection_2026_00019,microbiology,Chỉ tiêu vi sinh cần xử lý,1.000000,scrap,resolved,Chỉ tiêu vi sinh cần xử lý; đã mở phiếu xử lý theo quy trình chất lượng.
fixture_nonconformance_2026_00020,fixture_quality_inspection_2026_00020,label_information,Thông tin nhãn cần điều chỉnh,2.000000,return,cancelled,Thông tin nhãn cần điều chỉnh; đã mở phiếu xử lý theo quy trình chất lượng.
fixture_nonconformance_2026_00021,fixture_quality_inspection_2026_00021,appearance,Ngoại quan không đạt,3.000000,hold,open,Ngoại quan không đạt; đã mở phiếu xử lý theo quy trình chất lượng.
fixture_nonconformance_2026_00022,fixture_quality_inspection_2026_00022,seal_integrity,Độ kín bao bì không đạt,4.000000,rework,in_progress,Độ kín bao bì không đạt; đã mở phiếu xử lý theo quy trình chất lượng.
fixture_nonconformance_2026_00023,fixture_quality_inspection_2026_00023,net_weight,Khối lượng tịnh lệch chuẩn,5.000000,scrap,resolved,Khối lượng tịnh lệch chuẩn; đã mở phiếu xử lý theo quy trình chất lượng.
fixture_nonconformance_2026_00024,fixture_quality_inspection_2026_00024,microbiology,Chỉ tiêu vi sinh cần xử lý,6.000000,return,cancelled,Chỉ tiêu vi sinh cần xử lý; đã mở phiếu xử lý theo quy trình chất lượng.
fixture_nonconformance_2026_00025,fixture_quality_inspection_2026_00025,label_information,Thông tin nhãn cần điều chỉnh,7.000000,hold,open,Thông tin nhãn cần điều chỉnh; đã mở phiếu xử lý theo quy trình chất lượng.
fixture_nonconformance_2026_00026,fixture_quality_inspection_2026_00026,appearance,Ngoại quan không đạt,8.000000,rework,in_progress,Ngoại quan không đạt; đã mở phiếu xử lý theo quy trình chất lượng.
fixture_nonconformance_2026_00027,fixture_quality_inspection_2026_00027,seal_integrity,Độ kín bao bì không đạt,9.000000,scrap,resolved,Độ kín bao bì không đạt; đã mở phiếu xử lý theo quy trình chất lượng.
fixture_nonconformance_2026_00028,fixture_quality_inspection_2026_00028,net_weight,Khối lượng tịnh lệch chuẩn,10.000000,return,cancelled,Khối lượng tịnh lệch chuẩn; đã mở phiếu xử lý theo quy trình chất lượng.
fixture_nonconformance_2026_00029,fixture_quality_inspection_2026_00029,microbiology,Chỉ tiêu vi sinh cần xử lý,11.000000,hold,open,Chỉ tiêu vi sinh cần xử lý; đã mở phiếu xử lý theo quy trình chất lượng.
fixture_nonconformance_2026_00030,fixture_quality_inspection_2026_00030,label_information,Thông tin nhãn cần điều chỉnh,12.000000,rework,in_progress,Thông tin nhãn cần điều chỉnh; đã mở phiếu xử lý theo quy trình chất lượng.
fixture_nonconformance_2026_00031,fixture_quality_inspection_2026_00031,appearance,Ngoại quan không đạt,13.000000,scrap,resolved,Ngoại quan không đạt; đã mở phiếu xử lý theo quy trình chất lượng.
fixture_nonconformance_2026_00032,fixture_quality_inspection_2026_00032,seal_integrity,Độ kín bao bì không đạt,14.000000,return,cancelled,Độ kín bao bì không đạt; đã mở phiếu xử lý theo quy trình chất lượng.
fixture_nonconformance_2026_00033,fixture_quality_inspection_2026_00033,net_weight,Khối lượng tịnh lệch chuẩn,15.000000,hold,open,Khối lượng tịnh lệch chuẩn; đã mở phiếu xử lý theo quy trình chất lượng.
